team_name,date,scored,xG,match_performance
Everton,2023-09-30 14:00:00,1,3.65377,-2.65377
Sheffield United,2023-12-26 15:00:00,2,3.61788,-1.61788
Everton,2024-03-02 15:00:00,1,3.12075,-2.12075
Liverpool,2024-04-14 13:00:00,0,3.04497,-3.04497
Fulham,2024-03-09 15:00:00,1,2.94155,-1.9415499999999999
Luton,2024-03-13 19:30:00,3,2.79419,0.20581000000000005
Newcastle United,2023-12-26 12:30:00,1,2.79106,-1.7910599999999999
Arsenal,2023-12-28 20:15:00,0,2.7884,-2.7884
Wolverhampton Wanderers,2023-08-19 14:00:00,1,2.68821,-1.6882100000000002
Aston Villa,2024-02-11 16:30:00,1,2.64675,-1.64675
Luton,2023-12-30 12:30:00,2,2.64093,-0.64093
Bournemouth,2024-02-10 15:00:00,1,2.60612,-1.6061200000000002
Tottenham,2024-04-28 13:00:00,2,2.60458,-0.6045799999999999
Brentford,2023-12-27 19:30:00,1,2.59347,-1.59347
Everton,2023-08-12 14:00:00,0,2.59001,-2.59001
Everton,2023-11-26 16:30:00,0,2.49764,-2.49764
Sheffield United,2024-05-04 14:00:00,1,2.48986,-1.4898600000000002
Manchester United,2023-08-19 16:30:00,0,2.44604,-2.44604
Nottingham Forest,2024-05-11 16:30:00,2,2.44569,-0.4456899999999999
Luton,2024-03-02 17:30:00,2,2.43312,-0.43312000000000017
Chelsea,2024-02-04 14:00:00,2,2.35967,-0.35966999999999993
Chelsea,2023-12-06 20:15:00,1,2.3512,-1.3512
Chelsea,2023-09-02 14:00:00,0,2.28442,-2.28442
Newcastle United,2024-05-15 19:00:00,2,2.27657,-0.27657
Wolverhampton Wanderers,2024-02-01 20:15:00,3,2.27609,0.72391
Nottingham Forest,2024-02-24 15:00:00,2,2.25569,-0.25569
Nottingham Forest,2023-11-25 15:00:00,2,2.22655,-0.22655000000000003
Tottenham,2023-11-26 14:00:00,1,2.22542,-1.2254200000000002
Nottingham Forest,2024-04-28 15:30:00,0,2.17312,-2.17312
Tottenham,2024-03-16 17:30:00,0,2.14564,-2.14564
Tottenham,2023-12-28 19:30:00,2,2.06955,-0.06955
Luton,2024-05-19 15:00:00,2,2.06743,-0.06742999999999988
Bournemouth,2024-04-21 14:00:00,1,2.05211,-1.0521099999999999
Luton,2023-09-01 19:00:00,1,2.02244,-1.02244
Bournemouth,2024-05-19 15:00:00,1,2.002,-1.0019999999999998
Nottingham Forest,2024-04-07 19:00:00,1,2.00122,-1.00122
Everton,2023-12-23 15:00:00,1,1.98385,-0.9838499999999999
Sheffield United,2024-04-20 14:00:00,1,1.97816,-0.9781599999999999
Brighton,2024-05-19 15:00:00,0,1.9717,-1.9717
Manchester United,2024-02-24 15:00:00,1,1.96036,-0.9603600000000001
Everton,2023-08-26 14:00:00,0,1.89792,-1.89792
Crystal Palace,2023-11-11 15:00:00,2,1.89194,0.10806000000000004
Arsenal,2024-04-14 15:30:00,0,1.89003,-1.89003
Luton,2023-08-12 14:00:00,1,1.88594,-0.88594
Liverpool,2024-04-24 19:00:00,0,1.87155,-1.87155
Tottenham,2024-05-14 19:00:00,0,1.84285,-1.84285
Aston Villa,2023-12-26 20:00:00,2,1.83637,0.16362999999999994
Crystal Palace,2023-11-25 15:00:00,1,1.83546,-0.8354600000000001
Sheffield United,2024-04-27 14:00:00,1,1.82408,-0.8240799999999999
Everton,2024-03-09 12:30:00,0,1.8214,-1.8214
Crystal Palace,2023-12-09 12:30:00,1,1.79152,-0.79152
Wolverhampton Wanderers,2024-04-06 14:00:00,1,1.78341,-0.7834099999999999
Luton,2024-02-10 15:00:00,1,1.76215,-0.7621500000000001
West Ham,2023-11-04 15:00:00,2,1.75505,0.24495
Chelsea,2023-12-24 13:00:00,1,1.75447,-0.75447
Brighton,2023-09-30 11:30:00,1,1.72819,-0.7281899999999999
Wolverhampton Wanderers,2023-08-14 19:00:00,0,1.72228,-1.72228
Chelsea,2023-10-28 11:30:00,0,1.71801,-1.71801
Arsenal,2023-12-09 17:30:00,0,1.71667,-1.71667
Nottingham Forest,2023-12-15 20:00:00,0,1.70569,-1.70569
Brentford,2024-05-19 15:00:00,2,1.70157,0.29843
Brentford,2024-02-17 12:30:00,1,1.69518,-0.6951799999999999
Burnley,2023-09-02 14:00:00,2,1.66604,0.33396000000000003
Brentford,2023-11-25 17:30:00,0,1.66315,-1.66315
Wolverhampton Wanderers,2024-03-30 17:30:00,0,1.66232,-1.66232
Arsenal,2023-12-31 14:00:00,1,1.6591,-0.6591
Newcastle United,2023-08-27 15:30:00,1,1.62037,-0.6203700000000001
Newcastle United,2023-12-10 16:30:00,1,1.61368,-0.61368
Tottenham,2023-12-07 20:15:00,1,1.61268,-0.6126799999999999
Chelsea,2023-08-20 15:30:00,1,1.60916,-0.6091599999999999
Burnley,2024-03-03 13:00:00,0,1.60461,-1.60461
Chelsea,2024-04-23 19:00:00,0,1.60343,-1.60343
Tottenham,2024-02-17 15:00:00,1,1.59768,-0.59768
Brentford,2024-01-31 19:30:00,2,1.59637,0.40362999999999993
Bournemouth,2023-09-24 13:00:00,1,1.58984,-0.5898399999999999
Bournemouth,2023-12-31 14:00:00,1,1.58229,-0.58229
Wolverhampton Wanderers,2023-11-27 20:00:00,2,1.57875,0.4212499999999999
Brentford,2023-09-23 16:30:00,1,1.57402,-0.57402
Luton,2024-02-18 16:30:00,1,1.57234,-0.5723400000000001
Manchester United,2024-04-04 19:15:00,3,1.56686,1.43314
Manchester United,2023-09-30 14:00:00,0,1.55408,-1.55408
West Ham,2023-09-24 13:00:00,1,1.53878,-0.53878
Luton,2023-10-03 18:30:00,1,1.53058,-0.53058
Sheffield United,2024-02-03 17:30:00,0,1.52784,-1.52784
Fulham,2023-12-03 14:00:00,3,1.51005,1.48995
Burnley,2023-11-04 15:00:00,0,1.4998,-1.4998
Crystal Palace,2024-04-06 11:30:00,2,1.49472,0.50528
Brighton,2024-02-10 15:00:00,1,1.49285,-0.49285
Burnley,2024-01-31 19:30:00,1,1.49114,-0.4911399999999999
Aston Villa,2023-08-12 16:30:00,1,1.486,-0.486
Fulham,2023-09-02 14:00:00,1,1.46427,-0.46426999999999996
Luton,2023-09-16 14:00:00,0,1.45705,-1.45705
West Ham,2024-04-14 13:00:00,0,1.45307,-1.45307
Brentford,2023-11-12 14:00:00,0,1.44954,-1.44954
Aston Villa,2024-01-30 20:15:00,1,1.44485,-0.44484999999999997
Burnley,2023-11-25 15:00:00,1,1.44228,-0.44228
Nottingham Forest,2023-11-12 14:00:00,2,1.42128,0.5787199999999999
Fulham,2024-02-17 15:00:00,1,1.41796,-0.4179600000000001
Newcastle United,2023-12-23 15:00:00,0,1.41488,-1.41488
Sheffield United,2023-10-21 19:00:00,1,1.41074,-0.4107400000000001
Bournemouth,2023-08-19 14:00:00,1,1.3867,-0.38670000000000004
Fulham,2023-12-23 15:00:00,0,1.38096,-1.38096
Brighton,2023-08-26 16:30:00,1,1.3743,-0.3743000000000001
Brighton,2024-04-28 13:00:00,0,1.35682,-1.35682
West Ham,2024-04-21 14:00:00,2,1.34536,0.6546400000000001
Brentford,2024-02-26 20:00:00,2,1.33683,0.66317
Aston Villa,2023-11-05 14:00:00,0,1.33116,-1.33116
Brighton,2024-05-15 18:45:00,1,1.32423,-0.32423
Newcastle United,2023-12-07 19:30:00,0,1.29564,-1.29564
Brentford,2023-12-30 15:00:00,1,1.28731,-0.28730999999999995
Burnley,2024-05-04 14:00:00,1,1.28632,-0.2863199999999999
Tottenham,2024-05-02 18:30:00,0,1.27064,-1.27064
Crystal Palace,2023-12-06 19:30:00,0,1.26441,-1.26441
Brentford,2024-03-16 15:00:00,1,1.25123,-0.25123000000000006
Newcastle United,2024-01-13 17:30:00,2,1.23638,0.76362
Everton,2023-12-27 20:15:00,1,1.23529,-0.23529
Aston Villa,2024-03-10 13:00:00,0,1.23267,-1.23267
Nottingham Forest,2024-01-20 17:30:00,2,1.22251,0.77749
Brentford,2023-12-06 19:30:00,1,1.22007,-0.22007
Everton,2024-04-15 19:00:00,0,1.21791,-1.21791
Sheffield United,2024-04-24 19:00:00,2,1.20517,0.7948299999999999
