team_name,performance,total_points
Aston Villa,8.577406499999995,68
Arsenal,6.6075210000000055,89
Manchester City,6.451246999999995,91
West Ham,5.470415000000003,52
Crystal Palace,3.064546,49
Fulham,2.191304500000001,47
Luton,2.1275380000000013,26
Tottenham,0.6482199999999949,66
Newcastle United,0.5221480000000014,60
Wolverhampton Wanderers,-0.6522409999999965,46
Burnley,-2.4420855999999986,24
Nottingham Forest,-3.157332000000004,36
Manchester United,-3.3299030000000016,60
Chelsea,-3.8815139999999957,63
Sheffield United,-6.306256400000002,16
Brighton,-6.910401999999998,48
Brentford,-8.291681999999994,39
Liverpool,-8.785241999999997,82
Bournemouth,-9.755446,48
Everton,-20.754175500000002,48
